#a,e,i,H,diameter,BV,UB
2.766807266,0.07579726,10.59398142,3.34,952.4,0.713,0.426
2.77243388,0.231565012,34.83625657,4.13,545,0.635,0.284
2.670305369,0.255287122,12.9805794,5.33,233.92,0.824,0.433
2.361384046,0.088502442,7.140518204,3.2,530,0.782,0.492
2.574572147,0.190872297,5.367795422,6.85,119.07,0.826,0.411
2.425872529,0.20165177,14.74725527,5.71,185.18,0.822,0.399
2.385938786,0.230430431,5.524431283,5.51,199.83,0.855,0.484
2.201475472,0.156154075,5.888045897,6.49,135.89,0.885,0.489
2.38571529,0.122586811,5.575221779,6.28,190,0.858,0.496
3.13716845,0.115972318,3.841903512,5.43,407.12,0.696,0.351
2.454403552,0.09898011,4.627441146,6.55,153.33,0.837,0.417
2.33346961,0.221330078,8.369222537,7.24,112.77,0.874,0.515
2.576241207,0.083864265,16.540664,6.74,207.64,0.745,0.452
2.586548455,0.165863216,9.118921552,6.3,152,0.833,0.388
2.643134278,0.187805981,11.73883031,5.28,255.33,0.839,0.451
2.922996366,0.13659975,3.098485635,5.9,253.16,0.729,0.299
2.470581059,0.133622585,5.588679745,7.76,90.04,0.829,0.438
2.296313306,0.218396254,10.12860987,6.51,140.57,0.854,0.425
2.442896947,0.158215669,1.573118744,7.13,200,0.719,0.324
2.408598042,0.142700883,0.708200075,6.5,145.5,0.854,0.463
2.4343584,0.164459315,3.063865809,7.35,95.76,0.686,0.189
2.909884223,0.100066445,13.71829557,6.45,181,0.715,0.234
2.625198872,0.235265873,10.11461783,6.95,107.53,0.859,0.442
3.135490469,0.126105703,0.752288217,7.08,198,0.684,0.336
2.399754917,0.255756883,21.59105466,7.83,75.13,0.932,0.513
2.655057865,0.090141443,3.563708041,7.5,94.8,0.891,0.525
2.346961739,0.17239963,1.583772178,7,96,0.878,0.502
2.77618299,0.151233092,9.432395636,7.09,120.9,0.845,0.469
2.554574993,0.072404036,6.089566377,5.85,212.22,0.838,0.449
2.365573789,0.126982448,2.098011373,7.53,100.15,0.873,0.459
3.153997684,0.222249226,26.31404703,6.74,255.9,0.687,0.317
2.58914388,0.080680151,5.523721738,7.56,80.76,0.857,0.429
2.867772715,0.336856161,1.868783794,8.55,,0.848,0.438
2.686984574,0.10448672,5.498250714,8.51,113.54,0.707,0.357
2.99026789,0.227112111,7.935188161,8.5,103.11,0.703,0.335
2.749299888,0.302349372,18.42455699,8.46,105.61,0.713,0.363
2.643520245,0.173643164,3.072350702,7.29,108.35,0.843,0.414
2.738610754,0.155037764,6.974782796,8.32,115.93,0.726,0.419
2.768436336,0.114137275,10.37996982,6.1,149.52,0.898,0.494
2.267312422,0.046952847,4.257751268,7,107.62,0.854,0.432
2.76112321,0.275041454,15.79156994,7.12,174,0.726,0.363
2.441779526,0.222307197,8.526894918,7.53,100.2,0.874,0.462
